Model,"Gun
(50k)","Gun
(100k)","Gun
(150k)","Knife
(50k)","Knife
(100k)","Knife
(150k)","Wrench
(50k)","Wrench
(100k)","Wrench
(150k)","Pliers
(50k)","Pliers
(100k)","Pliers
(150k)","Scissors
(50k)","Scissors
(100k)","Scissors
(150k)","Macro mAP
(50k)","Macro mAP
(100k)","Macro mAP
(150k)","Micro mAP
(50k)","Micro mAP
(100k)","Micro mAP
(150k)","Weighted mAP
(50k)","Weighted mAP
(100k)","Weighted mAP
(150k)"
"faster_rcnn_
inception_v2",0.957,0.954,0.951,0.767,0.705,0.67,0.68,0.584,0.519,0.737,0.646,0.586,0.332,0.201,0.143,0.694,0.618,0.574,0.704,0.596,0.526,0.754,0.686,0.643
"faster_rcnn_
resnet101",0.982,0.975,0.97,0.807,0.718,0.668,0.737,0.625,0.546,0.743,0.629,0.541,0.291,0.179,0.136,0.712,0.625,0.572,0.757,0.652,0.581,0.776,0.694,0.638
"faster_rcnn_
resnet50",0.979,0.972,0.964,0.729,0.622,0.566,0.773,0.665,0.603,0.733,0.624,0.547,0.235,0.141,0.097,0.69,0.605,0.555,0.709,0.592,0.513,0.763,0.681,0.63
"rfcn_
resnet101",0.985,0.979,0.973,0.727,0.628,0.539,0.622,0.47,0.385,0.689,0.541,0.457,0.242,0.133,0.095,0.653,0.55,0.49,0.726,0.599,0.522,0.722,0.619,0.558
"ssd_
inception_v2",0.979,0.97,0.964,0.936,0.908,0.891,0.733,0.65,0.588,0.753,0.662,0.611,0.393,0.289,0.243,0.759,0.696,0.659,0.816,0.749,0.707,0.805,0.745,0.709
"ssd_
mobilenet_fpn",0.951,0.942,0.936,0.789,0.744,0.708,0.721,0.648,0.587,0.778,0.721,0.672,0.418,0.299,0.223,0.731,0.671,0.625,0.767,0.701,0.649,0.784,0.733,0.693
"ssd_
mobilenet_v1",0.917,0.904,0.893,0.612,0.503,0.425,0.61,0.537,0.488,0.701,0.626,0.572,0.303,0.232,0.206,0.629,0.561,0.517,0.658,0.582,0.528,0.694,0.63,0.586
"ssd_
resnet50",0.954,0.95,0.948,0.754,0.706,0.669,0.669,0.601,0.545,0.73,0.628,0.563,0.428,0.313,0.251,0.707,0.64,0.595,0.734,0.652,0.596,0.755,0.691,0.648
Average,0.963,0.95575,0.949875,0.765125,0.69175,0.642,0.693125,0.5975,0.532625,0.733,0.634625,0.568625,0.33025,0.223375,0.17425,0.696875,0.62075,0.573375,0.733875,0.640375,0.57775,0.756625,0.684875,0.638125
